Identifier / Formula,Name
m,meter (N/A)
s,second (N/A)
{\tfrac\operatorname{m}{\operatorname{s}^2}},unit (Q118084)
a,acceleration (Q11376)
v,velocity (Q11465)
t,time (Q11471)
x,position (N/A)
\mathbf{a} =  \frac{d\mathbf{v}}{dt} = \frac{d^2\mathbf{x}}{dt^2},acceleration (N/A)
( \Delta \mathbf{v}),change (N/A)
( \Delta t),change (N/A)
\bar{\mathbf{a}} = \frac{\Delta \mathbf{v}}{\Delta t}.,acceleration (Q11376)
\mathbf{a} = \lim_{{\Delta t}\to 0} \frac{\Delta \mathbf{v}}{\Delta t} = \frac{d\mathbf{v}}{dt},acceleration (Q11376)
\mathbf{v} =  \int \mathbf{a} \  dt,velocity (Q11465)
\mathbf{a} =  \int \mathbf{j} \  dt,acceleration (Q11376)
j,jerk (N/A)
F,force (Q11402)
m,mass (Q11423)
\mathbf{F} = m\mathbf{a} \quad \to \quad \mathbf{a} = \frac{\mathbf{F}}{m},Newton' s second law (N/A)
"\mathbf{v} (t) =v(t) \frac {\mathbf{v}(t)}{v(t)} = v(t) \mathbf{u}_\mathrm{t}(t) , ",Circular motion velocity (N/A)
u,velocity (Q11465)
"\mathbf{u}_\mathrm{t} = \frac {\mathbf{v}(t)}{v(t)} \ , ",Tangential velocity (N/A)
"\begin{alignat}{3}\mathbf{a}  = \frac{\mathrm{d} \mathbf{v}}{\mathrm{d}t} \\            =  \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t} +v(t)\frac{d \mathbf{u}_\mathrm{t}}{dt} \\            = \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t}+ \frac{v^2}{r}\mathbf{u}_\mathrm{n}\ , \\\end{alignat}",Circular acceleration (N/A)
r,radius (Q173817)
g,gravitational constant (N/A)
s,displacement (Q190291)
 \mathbf{F_g} = m  \mathbf{g},Newton's second law (N/A)
 \mathbf{s}(t) = \mathbf{s}_0 + \mathbf{v}_0 t+ \tfrac{1}{2} \mathbf{a}t^2 = \mathbf{s}_0 + \frac{\mathbf{v}_0+\mathbf{v}(t)}{2}t ,Circular displacement (N/A)
 \mathbf{v}(t) = \mathbf{v}_0 + \mathbf{a} t ,Circular velocity (N/A)
 a_c = \frac {v^2} {r}\;.,Centripetal acceleration (N/A)
omega,angular velocity (Q161635)
 v = \omega r.,velocity (Q11465)
\omega = \frac {v}{r}.,angular velocity (Q161635)
alpha,angular acceleration (N/A)
 {v^2}(t) = {v_0}^2 + 2\mathbf{a \cdot}[\mathbf{s}(t)-\mathbf{s}_0] ,velocity (Q11465)
\mathbf{s}_0,displacement (Q190291)
\mathbf{s}(t),displacement (Q190291)
\mathbf{v}_0,velocity (Q11465)
\mathbf{v}(t),velocity (Q11465)
\mathbf{a},acceleration (Q11376)
\omega,angular velocity (Q161635)
\mathbf{r} ,distance (Q126017)
 \mathbf {a_c}= -\frac{v^2}{|\mathbf {r}|}\cdot \frac{\mathbf {r}}{|\mathbf {r}|}\;. ,acceleration (Q11376)
 \mathbf {a_c}= -\omega^2  \mathbf {r}\;. ,acceleration (N/A)
\alpha,acceleration (Q11376)
\alpha = \dot\omega,acceleration (Q11376)
 a_t = r \alpha.,acceleration (Q11376)
F,force (Q11402)
m,mass (Q11423)
omega,angular velocity (Q161635)
r,distance (Q126017)
a,acceleration (Q11376)
"\boldsymbol{F} = m\boldsymbol{a}\ ,",newton's law of motion (N/A)
t,time (Q11471)
" \boldsymbol{a}=\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} \ , ",acceleration (Q11376)
\boldsymbol{a} =\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} = \frac{\operatorname{d}}{\operatorname{d}t}\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} = \frac{\operatorname{d}}{\operatorname{d}t} \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\= \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t} \\=  \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] +  \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} +  \boldsymbol{\omega} \times \left( \left[\frac{\operatorname{d}\boldsymbol{r}}{\operatorname{d}t}\right] + \boldsymbol{\omega} \times \boldsymbol{r}\ \right) \\ = \left[ \frac{\operatorname{d}^2 \boldsymbol{r}}{\operatorname{d}t^2} \right] + \frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} + 2 \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] + \boldsymbol{\omega}\times ( \boldsymbol{\omega} \times \boldsymbol{r}) \ .,acceleration (Q11376)
\boldsymbol{F} - m\frac{\operatorname{d} \boldsymbol{\omega}}{\operatorname{d}t}\times\boldsymbol{r} - 2m \boldsymbol{\omega}\times \left[ \frac{\operatorname{d} \boldsymbol{r}}{\operatorname{d}t} \right] - m\boldsymbol{\omega}\times (\boldsymbol{\omega}\times \boldsymbol{r}) ,force (Q11402)
I,moment of inertia (Q165618)
L,angular momentum (N/A)
omega,angular velocity (Q161635)
I = \frac{L}{\omega}.,moment of inertia (Q165618)
E,energy (Q11379)
r,distance (Q126017)
alpha,angular acceleration (Q186300)
tau,torque (Q48103)
\tau = I \alpha.,torque (Q48103)
I = mr^2.,moment of inertia (Q165618)
k,radius (Q173817)
I=r^2m,moment of inertia (Q165618)
p,momentum (Q41273)
m,mass (Q11423)
v,velocity (Q11465)
"p = mv,",momentum (Q41273)
L,angular momentum (Q161254)
I,moment of inertia (Q165618)
omega,angular velocity (Q161635)
L = I\omega.,angular momentum (Q161254)
"L = rmv,",angular momentum (Q161254)
