Identifier / Formula,Name
{\tfrac\operatorname{m}{\operatorname{s}^2}},unit (Q118084)
\mathbf{a} =  \frac{d\mathbf{v}}{dt} = \frac{d^2\mathbf{x}}{dt^2},acceleration (N/A)
( \Delta \mathbf{v}),change (N/A)
( \Delta t),change (N/A)
\bar{\mathbf{a}} = \frac{\Delta \mathbf{v}}{\Delta t}.,acceleration (Q11376)
\mathbf{a} = \lim_{{\Delta t}\to 0} \frac{\Delta \mathbf{v}}{\Delta t} = \frac{d\mathbf{v}}{dt},acceleration (Q11376)
\mathbf{v} =  \int \mathbf{a} \  dt,velocity (Q11465)
\mathbf{a} =  \int \mathbf{j} \  dt,acceleration (Q11376)
\mathbf{F} = m\mathbf{a} \quad \to \quad \mathbf{a} = \frac{\mathbf{F}}{m},Newton' s second law (N/A)
"\mathbf{v} (t) =v(t) \frac {\mathbf{v}(t)}{v(t)} = v(t) \mathbf{u}_\mathrm{t}(t) ,",Circular motion velocity (N/A)
"\mathbf{u}_\mathrm{t} = \frac {\mathbf{v}(t)}{v(t)} \ ,",Tangential velocity (N/A)
"\begin{alignat}{3}\mathbf{a}  = \frac{\mathrm{d} \mathbf{v}}{\mathrm{d}t} \\            =  \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t} +v(t)\frac{d \mathbf{u}_\mathrm{t}}{dt} \\            = \frac{\mathrm{d}v }{\mathrm{d}t} \mathbf{u}_\mathrm{t}+ \frac{v^2}{r}\mathbf{u}_\mathrm{n}\ , \\\end{alignat}",Circular acceleration (N/A)
\mathbf{F_g} = m  \mathbf{g},Newton's second law (N/A)
\mathbf{s}(t) = \mathbf{s}_0 + \mathbf{v}_0 t+ \tfrac{1}{2} \mathbf{a}t^2 = \mathbf{s}_0 + \frac{\mathbf{v}_0+\mathbf{v}(t)}{2}t,Circular displacement (N/A)
\mathbf{v}(t) = \mathbf{v}_0 + \mathbf{a} t,Circular velocity (N/A)
a_c = \frac {v^2} {r}\;.,Centripetal acceleration (N/A)
v = \omega r.,velocity (Q11465)
\omega = \frac {v}{r}.,angular velocity (Q161635)
{v^2}(t) = {v_0}^2 + 2\mathbf{a \cdot}[\mathbf{s}(t)-\mathbf{s}_0],velocity (Q11465)
\mathbf{s}_0,displacement (Q190291)
\mathbf{s}(t),displacement (Q190291)
\mathbf{v}_0,velocity (Q11465)
\mathbf{v}(t),velocity (Q11465)
\mathbf{a},acceleration (Q11376)
\omega,angular velocity (Q161635)
\mathbf{r},distance (Q126017)
\mathbf {a_c}= -\frac{v^2}{|\mathbf {r}|}\cdot \frac{\mathbf {r}}{|\mathbf {r}|}\;.,acceleration (Q11376)
\mathbf {a_c}= -\omega^2  \mathbf {r}\;.,acceleration (N/A)
\alpha,acceleration (Q11376)
\alpha = \dot\omega,acceleration (Q11376)
a_t = r \alpha.,acceleration (Q11376)
"\boldsymbol{F} = m\boldsymbol{a}\ ,",newton's law of motion (N/A)
"\boldsymbol{a}=\frac{\operatorname{d}^2\boldsymbol{r}}{\operatorname{d}t^2} \ ,",acceleration (Q11376)
