Identifier / Formula,Name,rank 1,rank 2,rank 3,rank 4,rank 5,rank 6,rank 7,rank 8,rank 9,rank 10
{\tfrac\operatorname{m}{\operatorname{s}^2}},unit (Q118084),Acceleration,Speed squared,Velocity squared per second,Meter per second squared,m/s^2,g (gravitational acceleration),Froude number,Acceleration due to gravity,Gravitational acceleration constant,Standard gravity
\mathbf{a} =  \frac{d\mathbf{v}}{dt} = \frac{d^2\mathbf{x}}{dt^2},acceleration (N/A),Acceleration,Jerk,Velocity Gradient,Second Derivative of Position,Time-Varying Acceleration,dv_dt,d2x_dt2,Acceleration Vector,Material Derivative of Velocity,Dvection
( \Delta \mathbf{v}),change (N/A),Velocity,Acceleration,Change of velocity,Delta-V,Velocity change,Speed variation,Displacement gradient,Flux density derivative,Spatial velocity gradient,Metric tensor divergence
( \Delta t),change (N/A),Delta-t,Time delta,Delta_time,DeltaT,Time_interval,Temporal_difference,Change_in_time,Time_derivative,Timedifference,Timestep
\bar{\mathbf{a}} = \frac{\Delta \mathbf{v}}{\Delta t}.,acceleration (Q11376),Acceleration,Velocity Change Ratio,Displacement Over Time,Speed Change,Average Acceleration Formula,Delta V Formula,Instantaneous Acceleration,Change in Velocity Formula,Rate of Change of Velocity,Tangential Acceleration
\mathbf{a} = \lim_{{\Delta t}\to 0} \frac{\Delta \mathbf{v}}{\Delta t} = \frac{d\mathbf{v}}{dt},acceleration (Q11376),Acceleration,Velocity Gradient,Material Derivative,Total Time Derivative,Covariant Acceleration,Convective Acceleration,Absolute Acceleration,Spacetime Acceleration,Differentiated Velocity,Lagrange Acceleration
\mathbf{v} =  \int \mathbf{a} \  dt,velocity (Q11465),Acceleration,Velocity,Integral of acceleration,a(v),v(t),Integral of velocity,dv/dt,V(t) = ∫a dt,a∞(v),Acceleration integral
\mathbf{a} =  \int \mathbf{j} \  dt,acceleration (Q11376),**Maxwell's Current Integral**,**Ampere-Maxwell Law**,**Current Density Integral**,**Joule Integral**,**Ampère's Integral Theorem**,**Jefimenko's Formulas**,**Electric Circulation**,**Vector Potential Integral**,**Electromagnetic Current Integral**,**Curl of J Integral**
\mathbf{F} = m\mathbf{a} \quad \to \quad \mathbf{a} = \frac{\mathbf{F}}{m},Newton' s second law (N/A),Newton's Second Law,F=ma,Acceleration Equation,Force-Mass-Acceleration Relationship,Inertia Principle,Mass-Force-Acceleration Formula,Kinematic Equation,Newton's Second Law of Motion,Dynamics Equation,Mass-Inertial Relationship
"\mathbf{v} (t) =v(t) \frac {\mathbf{v}(t)}{v(t)} = v(t) \mathbf{u}_\mathrm{t}(t) ,",Circular motion velocity (N/A),VUnitVector,VelocityDirection,UnitVelocityVector,VDotProduct,DirectionOfMotion,MotionDirectionVector,VelocityMagnitudeRatio,TangentVectorFunction,KinematicDirection,VelUnitVector
