Identifier / Formula,Name
m,mass (Q11423)
s,length of path (Q30337841)
a,acceleration (Q11376)
v,velocity (Q11465)
t,time (Q11471)
x,coordinate (Q12753000)
j,jerk (N/A)
F,force (Q11402)
u,vector (N/A)
r,position (N/A)
g,gravitational constant (Q18373)
omega,angular velocity (Q161635)
alpha,angular acceleration (Q186300)
I,moment of inertia (Q165618)
L,angular momentum (N/A)
E,electric field (N/A)
tau,torque (Q48103)
k,constant (Q188248)
p,momentum (Q41273)
T,kinetic energy (Q46276)
phi,angle (Q11352)
U,potential energy (N/A)
z,coordinate (Q12753000)
theta,angle (Q11352)
P,momentum (Q41273)
c,speed of light (Q2111)
y,coordinate (Q12753000)
gamma,lorentz factor (Q599404)
mu,distance (Q126017)
A,gauge (Q2330873)
G,Gravitational Constant (N/A)
R,radius (Q173817)
q,coordinate (N/A)
B,magnetic field (N/A)
Delta,changes (N/A)
V,potential (Q12559031)
b,constant (Q188248)
sigma,stress (Q206175)
J,impulse (N/A)
W,work (Q42213)
epsilon,permittivity (Q211569)
f,frequency (Q11652)
Omega,angular velocity (N/A)
varphi,phase (N/A)
K,kinetic energy (N/A)
H,hamiltonian (N/A)
S,Hamiltonian (N/A)
pi,constant (Q188248)
rho,density (Q29539)
h,Planck constant (Q122894)
vT,distance (Q126017)
C,capacitance (N/A)
nu,frequency (Q11652)
lambda,eigenvalue (Q21406831)
n,integer (Q12503)
i,number (N/A)
xi,coordinate (N/A)
zeta,jerk (N/A)
M,continuous function (Q5165476)
Q,damping (N/A)
e,constant (Q188248)
Z,mechanical impedance (Q6421317)
l,length (Q36253)
d,distance (Q126017)
Psi,wavefunction (N/A)
psi,wavefunction (N/A)
